day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,10/5/1447,4:24 am,5:56 am,11:21 am,2:23 pm,4:51 pm,6:09 pm
2,11/5/1447,4:24 am,5:57 am,11:21 am,2:23 pm,4:50 pm,6:08 pm
3,12/5/1447,4:25 am,5:58 am,11:21 am,2:22 pm,4:49 pm,6:07 pm
4,13/5/1447,4:26 am,5:59 am,11:21 am,2:21 pm,4:49 pm,6:06 pm
5,14/5/1447,4:27 am,6:00 am,11:21 am,2:20 pm,4:48 pm,6:06 pm
6,15/5/1447,4:28 am,6:01 am,11:21 am,2:20 pm,4:47 pm,6:05 pm
7,16/5/1447,4:28 am,6:02 am,11:21 am,2:19 pm,4:46 pm,6:04 pm
8,17/5/1447,4:29 am,6:03 am,11:21 am,2:18 pm,4:45 pm,6:03 pm
9,18/5/1447,4:30 am,6:03 am,11:21 am,2:18 pm,4:44 pm,6:03 pm
10,19/5/1447,4:31 am,6:04 am,11:22 am,2:17 pm,4:44 pm,6:02 pm
11,20/5/1447,4:31 am,6:05 am,11:22 am,2:17 pm,4:43 pm,6:01 pm
12,21/5/1447,4:32 am,6:06 am,11:22 am,2:16 pm,4:42 pm,6:01 pm
13,22/5/1447,4:33 am,6:07 am,11:22 am,2:16 pm,4:41 pm,6:00 pm
14,23/5/1447,4:34 am,6:08 am,11:22 am,2:15 pm,4:41 pm,6:00 pm
15,24/5/1447,4:35 am,6:09 am,11:22 am,2:15 pm,4:40 pm,5:59 pm
16,25/5/1447,4:36 am,6:10 am,11:22 am,2:14 pm,4:40 pm,5:59 pm
17,26/5/1447,4:36 am,6:11 am,11:22 am,2:14 pm,4:39 pm,5:58 pm
18,27/5/1447,4:37 am,6:12 am,11:23 am,2:13 pm,4:38 pm,5:58 pm
19,28/5/1447,4:38 am,6:13 am,11:23 am,2:13 pm,4:38 pm,5:58 pm
20,29/5/1447,4:39 am,6:14 am,11:23 am,2:13 pm,4:37 pm,5:57 pm
21,30/5/1447,4:40 am,6:15 am,11:23 am,2:12 pm,4:37 pm,5:57 pm
22,1/6/1447,4:40 am,6:16 am,11:24 am,2:12 pm,4:36 pm,5:57 pm
23,2/6/1447,4:41 am,6:17 am,11:24 am,2:12 pm,4:36 pm,5:56 pm
24,3/6/1447,4:42 am,6:18 am,11:24 am,2:11 pm,4:36 pm,5:56 pm
25,4/6/1447,4:43 am,6:19 am,11:24 am,2:11 pm,4:35 pm,5:56 pm
26,5/6/1447,4:44 am,6:19 am,11:25 am,2:11 pm,4:35 pm,5:56 pm
27,6/6/1447,4:44 am,6:20 am,11:25 am,2:11 pm,4:35 pm,5:55 pm
28,7/6/1447,4:45 am,6:21 am,11:25 am,2:10 pm,4:34 pm,5:55 pm
29,8/6/1447,4:46 am,6:22 am,11:26 am,2:10 pm,4:34 pm,5:55 pm
30,9/6/1447,4:47 am,6:23 am,11:26 am,2:10 pm,4:34 pm,5:55 pm
