day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,9/4/1447,5:00 am,6:31 am,12:28 pm,3:51 pm,6:29 pm,7:45 pm
2,10/4/1447,5:01 am,6:32 am,12:27 pm,3:50 pm,6:28 pm,7:43 pm
3,11/4/1447,5:02 am,6:33 am,12:27 pm,3:49 pm,6:26 pm,7:42 pm
4,12/4/1447,5:02 am,6:34 am,12:27 pm,3:48 pm,6:25 pm,7:41 pm
5,13/4/1447,5:03 am,6:34 am,12:26 pm,3:47 pm,6:23 pm,7:39 pm
6,14/4/1447,5:04 am,6:35 am,12:26 pm,3:46 pm,6:22 pm,7:38 pm
7,15/4/1447,5:05 am,6:36 am,12:26 pm,3:45 pm,6:21 pm,7:37 pm
8,16/4/1447,5:05 am,6:37 am,12:25 pm,3:44 pm,6:19 pm,7:35 pm
9,17/4/1447,5:06 am,6:37 am,12:25 pm,3:43 pm,6:18 pm,7:34 pm
10,18/4/1447,5:07 am,6:38 am,12:25 pm,3:42 pm,6:17 pm,7:33 pm
11,19/4/1447,5:08 am,6:39 am,12:25 pm,3:41 pm,6:16 pm,7:32 pm
12,20/4/1447,5:08 am,6:40 am,12:24 pm,3:40 pm,6:14 pm,7:30 pm
13,21/4/1447,5:09 am,6:40 am,12:24 pm,3:39 pm,6:13 pm,7:29 pm
14,22/4/1447,5:10 am,6:41 am,12:24 pm,3:39 pm,6:12 pm,7:28 pm
15,23/4/1447,5:11 am,6:42 am,12:24 pm,3:38 pm,6:10 pm,7:27 pm
16,24/4/1447,5:11 am,6:43 am,12:23 pm,3:37 pm,6:09 pm,7:25 pm
17,25/4/1447,5:12 am,6:44 am,12:23 pm,3:36 pm,6:08 pm,7:24 pm
18,26/4/1447,5:13 am,6:44 am,12:23 pm,3:35 pm,6:07 pm,7:23 pm
19,27/4/1447,5:14 am,6:45 am,12:23 pm,3:34 pm,6:06 pm,7:22 pm
20,28/4/1447,5:14 am,6:46 am,12:23 pm,3:33 pm,6:04 pm,7:21 pm
21,29/4/1447,5:15 am,6:47 am,12:22 pm,3:32 pm,6:03 pm,7:20 pm
22,30/4/1447,5:16 am,6:48 am,12:22 pm,3:31 pm,6:02 pm,7:19 pm
23,1/5/1447,5:17 am,6:48 am,12:22 pm,3:31 pm,6:01 pm,7:17 pm
24,2/5/1447,5:17 am,6:49 am,12:22 pm,3:30 pm,6:00 pm,7:16 pm
25,3/5/1447,5:18 am,6:50 am,12:22 pm,3:29 pm,5:59 pm,7:15 pm
26,4/5/1447,4:19 am,5:51 am,11:22 am,2:28 pm,4:58 pm,6:14 pm
27,5/5/1447,4:20 am,5:52 am,11:22 am,2:27 pm,4:57 pm,6:13 pm
28,6/5/1447,4:21 am,5:53 am,11:22 am,2:26 pm,4:55 pm,6:12 pm
29,7/5/1447,4:21 am,5:54 am,11:22 am,2:26 pm,4:54 pm,6:11 pm
30,8/5/1447,4:22 am,5:55 am,11:21 am,2:25 pm,4:53 pm,6:11 pm
31,9/5/1447,4:23 am,5:55 am,11:21 am,2:24 pm,4:52 pm,6:10 pm

