day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,3/11/1446,4:09 am,5:50 am,12:35 pm,4:17 pm,7:25 pm,8:50 pm
2,4/11/1446,4:08 am,5:48 am,12:35 pm,4:17 pm,7:26 pm,8:51 pm
3,5/11/1446,4:06 am,5:47 am,12:35 pm,4:17 pm,7:27 pm,8:52 pm
4,6/11/1446,4:05 am,5:46 am,12:34 pm,4:17 pm,7:27 pm,8:53 pm
5,7/11/1446,4:04 am,5:46 am,12:34 pm,4:17 pm,7:28 pm,8:54 pm
6,8/11/1446,4:02 am,5:45 am,12:34 pm,4:17 pm,7:29 pm,8:55 pm
7,9/11/1446,4:01 am,5:44 am,12:34 pm,4:17 pm,7:30 pm,8:56 pm
8,10/11/1446,4:00 am,5:43 am,12:34 pm,4:17 pm,7:30 pm,8:57 pm
9,11/11/1446,3:58 am,5:42 am,12:34 pm,4:18 pm,7:31 pm,8:58 pm
10,12/11/1446,3:57 am,5:41 am,12:34 pm,4:18 pm,7:32 pm,8:59 pm
11,13/11/1446,3:56 am,5:40 am,12:34 pm,4:18 pm,7:33 pm,9:01 pm
12,14/11/1446,3:55 am,5:39 am,12:34 pm,4:18 pm,7:34 pm,9:02 pm
13,15/11/1446,3:54 am,5:38 am,12:34 pm,4:18 pm,7:34 pm,9:03 pm
14,16/11/1446,3:52 am,5:38 am,12:34 pm,4:18 pm,7:35 pm,9:04 pm
15,17/11/1446,3:51 am,5:37 am,12:34 pm,4:18 pm,7:36 pm,9:05 pm
16,18/11/1446,3:50 am,5:36 am,12:34 pm,4:18 pm,7:37 pm,9:06 pm
17,19/11/1446,3:49 am,5:35 am,12:34 pm,4:18 pm,7:37 pm,9:07 pm
18,20/11/1446,3:48 am,5:35 am,12:34 pm,4:18 pm,7:38 pm,9:08 pm
19,21/11/1446,3:47 am,5:34 am,12:34 pm,4:18 pm,7:39 pm,9:09 pm
20,22/11/1446,3:46 am,5:33 am,12:34 pm,4:18 pm,7:40 pm,9:10 pm
21,23/11/1446,3:45 am,5:33 am,12:34 pm,4:19 pm,7:40 pm,9:11 pm
22,24/11/1446,3:44 am,5:32 am,12:34 pm,4:19 pm,7:41 pm,9:12 pm
23,25/11/1446,3:43 am,5:32 am,12:34 pm,4:19 pm,7:42 pm,9:12 pm
24,26/11/1446,3:42 am,5:31 am,12:34 pm,4:19 pm,7:42 pm,9:14 pm
25,27/11/1446,3:41 am,5:31 am,12:34 pm,4:19 pm,7:43 pm,9:15 pm
26,28/11/1446,3:40 am,5:30 am,12:34 pm,4:19 pm,7:44 pm,9:16 pm
27,29/11/1446,3:39 am,5:30 am,12:35 pm,4:19 pm,7:44 pm,9:17 pm
28,1/12/1446,3:39 am,5:29 am,12:35 pm,4:19 pm,7:45 pm,9:18 pm
29,2/12/1446,3:38 am,5:29 am,12:35 pm,4:20 pm,7:46 pm,9:19 pm
30,3/12/1446,3:37 am,5:29 am,12:35 pm,4:20 pm,7:46 pm,9:20 pm
31,4/12/1446,3:36 am,5:28 am,12:35 pm,4:20 pm,7:47 pm,9:21 pm
