day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,10/6/1447,4:48 am,6:24 am,11:26 am,2:10 pm,4:34 pm,5:55 pm
2,11/6/1447,4:48 am,6:25 am,11:27 am,2:10 pm,4:34 pm,5:55 pm
3,12/6/1447,4:49 am,6:26 am,11:27 am,2:10 pm,4:34 pm,5:55 pm
4,13/6/1447,4:50 am,6:26 am,11:28 am,2:10 pm,4:34 pm,5:55 pm
5,14/6/1447,4:51 am,6:27 am,11:28 am,2:10 pm,4:34 pm,5:55 pm
6,15/6/1447,4:51 am,6:28 am,11:28 am,2:10 pm,4:34 pm,5:55 pm
7,16/6/1447,4:52 am,6:29 am,11:29 am,2:10 pm,4:34 pm,5:55 pm
8,17/6/1447,4:53 am,6:30 am,11:29 am,2:10 pm,4:34 pm,5:55 pm
9,18/6/1447,4:53 am,6:31 am,11:30 am,2:10 pm,4:34 pm,5:56 pm
10,19/6/1447,4:54 am,6:31 am,11:30 am,2:11 pm,4:34 pm,5:56 pm
11,20/6/1447,4:55 am,6:32 am,11:31 am,2:11 pm,4:34 pm,5:56 pm
12,21/6/1447,4:56 am,6:33 am,11:31 am,2:11 pm,4:34 pm,5:56 pm
13,22/6/1447,4:56 am,6:34 am,11:31 am,2:11 pm,4:34 pm,5:57 pm
14,23/6/1447,4:57 am,6:34 am,11:32 am,2:12 pm,4:35 pm,5:57 pm
15,24/6/1447,4:58 am,6:35 am,11:32 am,2:12 pm,4:35 pm,5:57 pm
16,25/6/1447,4:58 am,6:36 am,11:33 am,2:12 pm,4:35 pm,5:58 pm
17,26/6/1447,4:59 am,6:36 am,11:33 am,2:13 pm,4:35 pm,5:58 pm
18,27/6/1447,4:59 am,6:37 am,11:34 am,2:13 pm,4:36 pm,5:58 pm
19,28/6/1447,5:00 am,6:37 am,11:34 am,2:13 pm,4:36 pm,5:59 pm
20,29/6/1447,5:00 am,6:38 am,11:35 am,2:14 pm,4:37 pm,5:59 pm
21,1/7/1447,5:01 am,6:39 am,11:35 am,2:14 pm,4:37 pm,6:00 pm
22,2/7/1447,5:02 am,6:39 am,11:36 am,2:15 pm,4:38 pm,6:00 pm
23,3/7/1447,5:02 am,6:40 am,11:36 am,2:15 pm,4:38 pm,6:01 pm
24,4/7/1447,5:03 am,6:40 am,11:37 am,2:16 pm,4:39 pm,6:01 pm
25,5/7/1447,5:03 am,6:40 am,11:37 am,2:16 pm,4:39 pm,6:02 pm
26,6/7/1447,5:03 am,6:41 am,11:38 am,2:17 pm,4:40 pm,6:02 pm
27,7/7/1447,5:04 am,6:41 am,11:38 am,2:17 pm,4:40 pm,6:03 pm
28,8/7/1447,5:04 am,6:42 am,11:39 am,2:18 pm,4:41 pm,6:03 pm
29,9/7/1447,5:05 am,6:42 am,11:39 am,2:19 pm,4:42 pm,6:04 pm
30,10/7/1447,5:05 am,6:43 am,11:40 am,2:19 pm,4:42 pm,6:05 pm
31,11/7/1447,5:05 am,6:43 am,11:40 am,2:20 pm,4:43 pm,6:05 pm
