day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,1/7/1446,5:07 am,6:43 am,11:41 am,2:21 pm,4:45 pm,6:07 pm
2,2/7/1446,5:07 am,6:43 am,11:42 am,2:22 pm,4:45 pm,6:07 pm
3,3/7/1446,5:07 am,6:44 am,11:42 am,2:22 pm,4:46 pm,6:08 pm
4,4/7/1446,5:07 am,6:44 am,11:42 am,2:23 pm,4:46 pm,6:08 pm
5,5/7/1446,5:07 am,6:44 am,11:43 am,2:24 pm,4:47 pm,6:09 pm
6,6/7/1446,5:07 am,6:44 am,11:43 am,2:24 pm,4:48 pm,6:10 pm
7,7/7/1446,5:07 am,6:44 am,11:44 am,2:25 pm,4:49 pm,6:10 pm
8,8/7/1446,5:07 am,6:44 am,11:44 am,2:26 pm,4:49 pm,6:11 pm
9,9/7/1446,5:07 am,6:44 am,11:44 am,2:27 pm,4:50 pm,6:12 pm
10,10/7/1446,5:07 am,6:44 am,11:45 am,2:28 pm,4:51 pm,6:13 pm
11,11/7/1446,5:07 am,6:45 am,11:45 am,2:28 pm,4:52 pm,6:13 pm
12,12/7/1446,5:08 am,6:44 am,11:46 am,2:29 pm,4:53 pm,6:14 pm
13,13/7/1446,5:08 am,6:43 am,11:46 am,2:30 pm,4:54 pm,6:15 pm
14,14/7/1446,5:07 am,6:43 am,11:46 am,2:31 pm,4:55 pm,6:16 pm
15,15/7/1446,5:07 am,6:43 am,11:47 am,2:32 pm,4:56 pm,6:17 pm
16,16/7/1446,5:07 am,6:43 am,11:47 am,2:32 pm,4:57 pm,6:17 pm
17,17/7/1446,5:07 am,6:43 am,11:48 am,2:33 pm,4:58 pm,6:18 pm
18,18/7/1446,5:07 am,6:42 am,11:48 am,2:34 pm,4:58 pm,6:19 pm
19,19/7/1446,5:07 am,6:42 am,11:48 am,2:35 pm,4:59 pm,6:20 pm
20,20/7/1446,5:07 am,6:42 am,11:49 am,2:36 pm,5:00 pm,6:21 pm
21,21/7/1446,5:07 am,6:41 am,11:49 am,2:37 pm,5:01 pm,6:22 pm
22,22/7/1446,5:06 am,6:41 am,11:49 am,2:38 pm,5:02 pm,6:22 pm
23,23/7/1446,5:06 am,6:40 am,11:49 am,2:38 pm,5:03 pm,6:23 pm
24,24/7/1446,5:06 am,6:40 am,11:50 am,2:39 pm,5:04 pm,6:24 pm
25,25/7/1446,5:05 am,6:39 am,11:50 am,2:40 pm,5:06 pm,6:25 pm
26,26/7/1446,5:05 am,6:39 am,11:50 am,2:41 pm,5:06 pm,6:25 pm
27,27/7/1446,5:05 am,6:38 am,11:50 am,2:42 pm,5:07 pm,6:27 pm
28,28/7/1446,5:04 am,6:38 am,11:51 am,2:43 pm,5:08 pm,6:28 pm
29,29/7/1446,5:04 am,6:37 am,11:51 am,2:43 pm,5:09 pm,6:28 pm
30,30/7/1446,5:03 am,6:37 am,11:51 am,2:44 pm,5:10 pm,6:29 pm
31,1/8/1446,5:03 am,6:36 am,11:51 am,2:45 pm,5:11 pm,6:30 pm
