day,hijri,fajr,sunrise,dhuhr,asr,maghrib,ishaa
1,1/9/1446,4:36 am,6:06 am,11:50 am,3:05 pm,5:39 pm,6:55 pm
2,2/9/1446,4:35 am,6:05 am,11:50 am,3:06 pm,5:40 pm,6:56 pm
3,3/9/1446,4:34 am,6:04 am,11:50 am,3:06 pm,5:41 pm,6:57 pm
4,4/9/1446,4:33 am,6:03 am,11:49 am,3:07 pm,5:41 pm,6:57 pm
5,5/9/1446,4:31 am,6:01 am,11:49 am,3:07 pm,5:42 pm,6:58 pm
6,6/9/1446,4:30 am,6:00 am,11:49 am,3:08 pm,5:43 pm,6:59 pm
7,7/9/1446,4:29 am,5:59 am,11:49 am,3:08 pm,5:44 pm,7:00 pm
8,8/9/1446,4:27 am,5:58 am,11:49 am,3:08 pm,5:44 pm,7:01 pm
9,9/9/1446,4:26 am,5:56 am,11:48 am,3:09 pm,5:45 pm,7:01 pm
10,10/9/1446,4:25 am,5:55 am,11:48 am,3:09 pm,5:46 pm,7:02 pm
11,11/9/1446,4:23 am,5:54 am,11:48 am,3:09 pm,5:47 pm,7:03 pm
12,12/9/1446,4:22 am,5:52 am,11:48 am,3:10 pm,5:48 pm,7:04 pm
13,13/9/1446,4:22 am,5:51 am,11:47 am,3:10 pm,5:49 pm,7:05 pm
14,14/9/1446,4:21 am,5:51 am,11:47 am,3:10 pm,5:49 pm,7:05 pm
15,15/9/1446,4:19 am,5:49 am,11:47 am,3:11 pm,5:49 pm,7:06 pm
16,16/9/1446,4:18 am,5:48 am,11:47 am,3:11 pm,5:50 pm,7:06 pm
17,17/9/1446,4:16 am,5:47 am,11:46 am,3:11 pm,5:51 pm,7:07 pm
18,18/9/1446,4:15 am,5:45 am,11:46 am,3:11 pm,5:52 pm,7:08 pm
19,19/9/1446,4:14 am,5:44 am,11:46 am,3:12 pm,5:52 pm,7:09 pm
20,20/9/1446,4:12 am,5:43 am,11:46 am,3:12 pm,5:53 pm,7:10 pm
21,21/9/1446,4:11 am,5:41 am,11:45 am,3:12 pm,5:54 pm,7:11 pm
22,22/9/1446,4:09 am,5:40 am,11:45 am,3:13 pm,5:55 pm,7:12 pm
23,23/9/1446,4:08 am,5:39 am,11:45 am,3:13 pm,5:56 pm,7:12 pm
24,24/9/1446,4:06 am,5:37 am,11:44 am,3:13 pm,5:56 pm,7:13 pm
25,25/9/1446,4:05 am,5:36 am,11:44 am,3:13 pm,5:57 pm,7:14 pm
26,26/9/1446,4:04 am,5:35 am,11:44 am,3:13 pm,5:58 pm,7:15 pm
27,27/9/1446,4:02 am,5:33 am,11:43 am,3:14 pm,5:59 pm,7:16 pm
28,28/9/1446,4:00 am,5:32 am,11:43 am,3:14 pm,5:59 pm,7:17 pm
29,29/9/1446,3:59 am,5:31 am,11:43 am,3:14 pm,6:00 pm,7:18 pm
30,1/10/1446,4:57 am,6:29 am,12:43 pm,4:14 pm,7:01 pm,8:18 pm
31,2/10/1446,4:56 am,6:28 am,12:42 pm,4:14 pm,7:02 pm,8:19 pm
